density chem.potencial pressure energy gibbs
0.0066156 280.2518332 -59.5281482 61.4054238 283.7647154
0.0094530 310.1957506 -59.2780271 62.2577697 315.2153071
0.0133686 341.0662520 -58.9045678 63.5590352 348.1649524
0.0183218 372.1244089 -58.3734774 65.3697273 381.8532856
0.0243570 403.1788075 -57.6453072 67.7805685 416.1123719
0.0315362 434.1679212 -56.6758186 70.8959157 450.9136142
0.0399285 465.0747916 -55.4154862 74.8317728 486.2767781
0.0496066 495.8990455 -53.8089590 79.7155213 522.2401188
0.0606454 526.6463651 -51.7945069 85.6861294 558.8490270
0.0731209 557.3242764 -49.3034460 92.8945534 596.1514023
0.0871099 587.9404356 -46.2595404 101.5042405 634.1957070
0.1026898 618.5019629 -42.5783746 111.6916983 673.0301629
0.1199384 649.0152245 -38.1666973 123.6471148 712.7024452
0.1389339 679.4858064 -32.9217331 137.5750211 753.2595995
0.1597544 709.9185684 -26.7304637 153.6949947 794.7480569
0.1824785 740.3177239 -19.4688760 172.2423982 837.2136868
0.2071847 770.6869240 -11.0011782 193.4691552 880.7018609
0.2339517 801.0293363 -1.1789829 217.6445597 925.2575186
0.2628582 831.3477151 10.1595421 245.0561210 970.9252264
0.2939830 861.6444623 23.1905567 276.0104425 1017.7492302
0.3274050 891.9216785 38.1054635 310.8341336 1065.7735011
0.3632031 922.1812069 55.1118567 349.8747561 1115.0417743
0.4014561 952.4246705 74.4345035 393.5018040 1165.5975820
0.4422431 982.6535026 96.3163590 442.1077161 1217.4842815
0.4856431 1012.8689733 121.0196141 496.1089235 1270.7450795
0.5317349 1043.0722117 148.8267766 555.9469288 1325.4230515
0.5805977 1073.2642244 180.0417853 622.0894200 1381.5611597
0.6323104 1103.4459115 214.9911580 695.0314170 1439.2022672
0.6869521 1133.6180801 254.0251714 775.2964516 1498.3891503
0.7446019 1163.7814561 297.5190759 863.4377813 1559.1645097
0.8053388 1193.9366936 345.8743419 960.0396352 1621.5709793
0.8692418 1224.0843840 399.5199408 1065.7184949 1685.6511343
0.9363901 1254.2250629 458.9136584 1181.1244069 1751.4474976
1.0068627 1284.3592167 524.5434416 1306.9423298 1819.0025463
1.0807387 1314.4872879 596.9287784 1443.8935134 1888.3587164
1.1580972 1344.6096801 676.6221115 1592.7369125 1959.5584073
1.2390172 1374.7267620 764.2102849 1754.2706328 2032.6439859
1.3235780 1404.8388714 860.3160230 1929.3334107 2107.6577897
1.4118585 1434.9463178 965.5994446 2118.8061260 2184.6421302
1.5039379 1465.0493858 1080.7596083 2323.6133481 2263.6392952
1.5998953 1495.1483372 1206.5360927 2544.7249156 2344.6915513
1.6998098 1525.2434136 1343.7106087 2783.1575487 2427.8411458
1.8037605 1555.3348379 1493.1086457 3039.9764950 2513.1303088
1.9118265 1585.4228164 1655.6011509 3316.2972093 2600.6012545
2.0240869 1615.5075400 1832.1062419 3613.2870651 2690.2961828
2.1406209 1645.5891859 2023.5909518 3932.1671013 2782.2572807
2.2615075 1675.6679188 2231.0730094 4274.2138001 2876.5267233
2.3868259 1705.7438915 2455.6226503 4640.7609002 2973.1466747
2.5166552 1735.8172467 2698.3644631 5033.2012415 3072.1592894
2.6510745 1765.8881173 2960.4792678 5452.9886441 3173.6067126
2.7901630 1795.9566272 3243.2060280 5901.6398203 3277.5310812
2.9339997 1826.0228925 3547.8437962 6380.7363199 3383.9745246
3.0826637 1856.0870215 3875.7536920 6891.9265081 3492.9791649
3.2362343 1886.1491160 4228.3609141 7436.9275782 3604.5871181
3.3947905 1916.2092711 4607.1567855 8017.5275955 3718.8404939
3.5584114 1946.2675763 5013.7008312 8635.5875765 3835.7813966
3.7271763 1976.3241156 5449.6228902 9293.0435996 3955.4519255
3.9011641 2006.3789680 5916.6252602 9991.9089504 4077.8941750
4.0804540 2036.4322078 6416.4848752 10734.2762993 4203.1502353
4.2651252 2066.4839051 6951.0555172 11522.3199130 4331.2621924
4.4552567 2096.5341259 7522.2700607 12358.2978988 4462.2721286
4.6509278 2126.5829326 8132.1427502 13244.5544825 4596.2221227
4.8522175 2156.6303841 8782.7715114 14183.5223194 4733.1542503
5.0592049 2186.6765360 9476.3402954 15177.7248384 4873.1105838
5.2719693 2216.7214410 10215.1214562 16229.7786196 5016.1331928
5.4905896 2246.7651489 11001.4781615 17342.3958050 5162.2641444
5.7151451 2276.8077069 11837.8668369 18518.3865428 5311.5455031
5.9457149 2306.8491598 12726.8396428 19760.6614640 5464.0193312
6.1823781 2336.8895502 13671.0469852 21072.2341938 5619.7276885
6.4252138 2366.9289183 14673.2400594 22456.2238945 5778.7126333
6.6743011 2396.9673024 15736.2734270 23915.8578432 5941.0162216
6.9297193 2427.0047390 16863.1076262 25454.4740416 6106.6805077
7.1915474 2457.0412627 18056.8118155 27075.5238598 6275.7475443
7.4598645 2487.0769065 19320.5664500 28782.5747131 6448.2593825
7.7347498 2517.1117019 20657.6659920 30579.3127715 6624.2580719
8.0162824 2547.1456787 22071.5216541 32469.5457040 6803.7856607
8.3045415 2577.1788654 23565.6641753 34457.2054540 6986.8841958
8.5996061 2607.2112895 25143.7466316 36546.3510497 7173.5957228
8.9015555 2637.2429767 26809.5472784 38741.1714474 7363.9622863
9.2104686 2667.2739520 28566.9724269 41045.9884070 7558.0259296
9.5264248 2697.3042391 30420.0593539 43465.2594020 7755.8286951
9.8495030 2727.3338606 32372.9792444 46003.5805626 7957.4126241
10.1797825 2757.3628383 34430.0401676 48665.6896511 8162.8197571
10.5173424 2787.3911929 36595.6900865 51456.4690715 8372.0921336
10.8622617 2817.4189442 38874.5199000 54380.9489122 8585.2717923
11.2146196 2847.4461115 41271.2665190 57444.3100216 8802.4007711
11.5744953 2877.4727128 43790.8159755 60651.8871170 9023.5211073
11.9419680 2907.4987657 46438.2065647 64009.1719273 9248.6748372
12.3171166 2937.5242870 49218.6320206 67521.8163683 9477.9039967
12.7000203 2967.5492928 52137.4447250 71195.6357517 9711.2506209
13.0907584 2997.5737985 55200.1589495 75036.6120267 9948.7567444
13.4894099 3027.5978190 58412.4541305 79050.8970558 10190.4644011
13.8960539 3057.6213685 61780.1781782 83244.8159234 10436.4156244
14.3107696 3087.6444609 65309.3508182 87624.8702770 10686.6524472
14.7336361 3117.6671092 69006.1669665 92197.7417031 10941.2169019
15.1647326 3147.6893261 72877.0001381 96970.2951347 11200.1510204
15.6041381 3177.7111239 76928.4058882 101949.5822935 11463.4968342
16.0519319 3207.7325143 81167.1252874 107142.8451645 11731.2963743
16.5081930 3237.7535086 85600.0884294 112557.5195040 12003.5916713
16.9730006 3267.7741178 90234.4179728 118201.2383810 12280.4247555
17.4464338 3297.7943522 95077.4327150 124081.8357517 12561.8376567
17.9285717 3327.8142221 100136.6512009 130207.3500677 12847.8724043
18.4194935 3357.8337372 105419.7953633 136586.0279163 13138.5710277
18.9192783 3387.8529069 110934.7941973 143226.3276957 13433.9755555
19.4280052 3417.8717404 116689.7874684 150136.9233222 13734.1280163
19.9457534 3447.8902463 122693.1294527 157326.7079708 14039.0704383
20.4726021 3477.9084332 128953.3927115 164804.7978498 14348.8448495
21.0086302 3507.9263092 135479.3718982 172580.5360077 14663.4932775
21.5539170 3537.9438823 142280.0875993 180663.4961740 14983.0577497
22.1085417 3567.9611600 149364.7902079 189063.4866332 15307.5802932
22.6725832 3597.9781498 156742.9638313 197790.5541314 15637.1029349
23.2461209 3627.9948588 164424.3302306 206854.9878173 15971.6677016
23.8292337 3658.0112939 172418.8527950 216267.3232153 16311.3166196
24.4220009 3688.0274617 180736.7405483 226038.3462326 16656.0917152
25.0245015 3718.0433688 189388.4521890 236179.0971990 17006.0350144
25.6368148 3748.0590214 198384.7001639 246700.8749409 17361.1885432
26.2590198 3778.0744256 207736.4547745 257615.2408872 17721.5943270
26.8911956 3808.0895872 217454.9483169 268934.0232095 18087.2943915
27.5334215 3838.1045119 227551.6792550 280669.3209953 18458.3307618
28.1857764 3868.1192052 238038.4164266 292833.5084541 18834.7454632
28.8483397 3898.1336725 248927.2032835 305439.2391574 19216.5805206
29.5211903 3928.1479189 260230.3621638 318499.4503109 19603.8779588
30.2044075 3958.1619495 271960.4985986 332027.3670615 19996.6798025
30.8980704 3988.1757691 284130.5056508 346036.5068360 20395.0280762
31.6022580 4018.1893825 296753.5682883 360540.6837141 20798.9648043
32.3170496 4048.2027941 309843.1677894 375554.0128338 21208.5320110
33.0425242 4078.2160086 323413.0861821 391090.9148313 21623.7717205
33.7787611 4108.2290301 337477.4107167 407166.1203126 22044.7259569
34.5258392 4138.2418630 352050.5383709 423794.6743595 22471.4367439
35.2838379 4168.2545112 367147.1803895 440991.9410689 22903.9461053
36.0528361 4198.2669787 382782.3668556 458773.6081238 23342.2960649
36.8329131 4228.2792694 398971.4512966 477155.6914000 23786.5286461
37.6241479 4258.2913870 415730.1153228 496154.5396036 24236.6858725
38.4266198 4288.3033351 433074.3732991 515786.8389439 24692.8097673
39.2404077 4318.3151172 451020.5770502 536069.6178378 25154.9423539
40.0655910 4348.3267369 469585.4205990 557020.2516484 25623.1256554
40.9022486 4378.3381974 488785.9449385 578656.4674568 26097.4016949
41.7504598 4408.3495020 508639.5428361 600996.3488671 26577.8124954
42.6103036 4438.3606538 529163.9636725 624058.3408440 27064.4000798
43.4818592 4468.3716559 550377.3183124 647861.2545848 27557.2064709
44.3652058 4498.3825114 572298.0840097 672424.2724237 28056.2736915
45.2604224 4528.3932230 594945.1093452 697766.9527699 28561.6437642
46.1675883 4558.4037937 618337.6191976 723909.2350789 29073.3587117
47.0867824 4588.4142263 642495.2197482 750871.4448561 29591.4605565
48.0180840 4618.4245234 667437.9035184 778674.2986957 30115.9913211
48.9615723 4648.4346876 693186.0544406 807338.9093506 30646.9930278
49.9173262 4678.4447215 719760.4529626 836886.7908371 31184.5076991
50.8854250 4708.4546276 747182.2811845 867339.8635722 31728.5773571
51.8659479 4738.4644082 775473.1280300 898720.4595441 32279.2440242
52.8589738 4768.4740659 804654.9944500 931051.3275163 32836.5497223
53.8645820 4798.4836029 834750.2986596 964355.6382649 33400.5364738
54.8828517 4828.4930214 865781.8814090 998656.9898486 33971.2463006
55.9138618 4858.5023236 897773.0112867 1033979.4129128 34548.7212247
56.9576916 4888.5115116 930747.3900567 1070347.3760263 35133.0032680
58.0144202 4918.5205877 964729.1580288 1107785.7910517 35724.1344525
59.0841268 4948.5295537 999742.8994615 1146320.0185486 36322.1568000
60.1668904 4978.5384117 1035813.6479996 1185975.8732104 36927.1123323
61.2627902 5008.5471636 1072966.8921430 1226779.6293341 37539.0430711
62.3719054 5038.5558113 1111228.5807507 1268758.0263236 38157.9910382
63.4943150 5068.5643567 1150625.1285773 1311938.2742265 38783.9982553
64.6300982 5098.5728016 1191183.4218420 1356348.0593031 39417.1067439
65.7793342 5128.5811476 1232930.8238321 1402015.5496297 40057.3585257
66.9421020 5158.5893967 1275895.1805393 1448969.4007350 40704.7956222
68.1184808 5188.5975504 1320104.8263286 1497238.7612691 41359.4600550
69.3085498 5218.6056103 1365588.5896413 1546853.2787065 42021.3938454
70.5123880 5248.6135782 1412375.7987313 1597843.1050822 42690.6390150
71.7300747 5278.6214555 1460496.2874336 1650238.9027605 43367.2375851
72.9616888 5308.6292438 1509980.4009674 1704071.8502377 44051.2315772
74.2073097 5338.6369446 1560859.0017714 1759373.6479777 44742.6630125
75.4670163 5368.6445593 1613163.4753730 1816176.5242812 45441.5739124
76.7408879 5398.6520895 1666925.7362902 1874513.2411875 46148.0062982
78.0290035 5428.6595364 1722178.2339676 1934417.1004106 46862.0021910
79.3314424 5458.6669015 1778953.9587446 1995921.9493070 47583.6036122
80.6482836 5488.6741861 1837286.4478575 2059062.1868786 48312.8525829
81.9796062 5518.6813916 1897209.7914750 2123872.7698074 49049.7911242
83.3254895 5548.6885191 1958758.6387663 2190389.2185240 49794.4612574
84.6860125 5578.6955700 2021968.2040030 2258647.6233095 50546.9050035
86.0612543 5608.7025455 2086874.2726943 2328684.6504305 51307.1643836
87.4512942 5638.7094468 2153513.2077546 2400537.5483070 52075.2814187
88.8562112 5668.7162751 2221921.9557057 2474244.1537141 52851.2981300
90.2760845 5698.7230315 2292138.0529110 2549842.8980170 53635.2565383
